Methode,Porosität_%,Druchlässigkeit_mD,Tiefe_m,Dichte_API,Viskosität_cP,Temp_C,Sättigung_%
Polymer,25.0,300.0,1066.8,37.0,1.9,61.11111111111111,57.0
Polymer,14.8,75.0,2438.4,42.0,2.82,87.77777777777777,20.2
Polymer,15.0,7.0,1363.98,34.0,3.0,37.77777777777778,53.0
Polymer,18.0,63.0,167.64,33.0,10.0,18.33333333333333,40.0
Polymer,15.0,62.0,457.2000000000001,30.0,5.5,27.77777777777778,49.279562043795615
Polymer,18.0,115.0,335.28000000000003,30.0,18.0,21.11111111111111,51.0
Polymer,11.2,50.0,1292.352,22.1,20.0,60.0,49.279562043795615
Polymer,15.7,45.0,1981.2,40.0,1.03,62.77777777777778,43.0
Polymer,16.8,45.0,1889.76,41.0,1.03,63.33333333333333,45.0
Polymer,15.8,45.0,1889.76,41.0,1.03,63.888888888888886,39.0
Polymer,15.4,45.0,1859.28,40.0,1.03,63.888888888888886,40.0
Polymer,16.0,63.75,1219.2,31.0,5.6,40.55555555555556,36.0
Polymer,19.2,23.0,640.08,34.0,6.2,44.44444444444444,51.9
Polymer,19.0,290.0,822.96,39.0,4.0,34.44444444444444,31.0
Polymer,12.5,58.0,2865.1200000000003,38.0,3.0,71.11111111111111,49.0
Polymer,19.2,18.0,792.48,35.0,5.0,44.44444444444444,3.4
Polymer,17.5,33.0,990.6,40.0,4.0,46.11111111111111,57.0
Polymer,17.2,100.0,1021.08,34.0,6.5,38.888888888888886,52.4
Polymer,24.2,386.0,304.8,32.0,10.0,29.0,46.2
Polymer,18.5,185.0,457.2000000000001,37.0,4.0,37.77777777777778,49.0
Polymer,20.0,130.0,228.6,29.0,50.0,20.555555555555557,49.0
Polymer,20.0,192.0,1188.72,34.0,10.5,31.666666666666664,53.0
Polymer,17.4,44.8,1493.52,26.0,13.6,48.888888888888886,47.0
Polymer,33.0,132.0,1219.2,24.0,15.0,48.33333333333333,49.279562043795615
Polymer,35.0,261.0,1050.036,22.5,8.2,42.22222222222222,49.279562043795615
Polymer,13.9,41.25,1706.88,23.0,17.0,49.44444444444444,49.279562043795615
Polymer,16.5,100.0,1920.24,21.0,34.0,48.888888888888886,66.5
Polymer,16.5,100.0,1920.24,21.0,34.0,48.888888888888886,66.5
Polymer,19.9,86.0,601.98,40.0,1.73,37.77777777777778,50.0
Polymer,9.7,30.0,2328.672,40.0,0.44,60.0,52.6
Polymer,21.4,471.0,1249.68,15.1,75.0,65.55555555555556,62.6
Polymer,23.3,524.5,1280.16,15.5,75.0,65.55555555555556,69.5
Polymer,17.0,452.5,1066.8,28.0,20.0,26.666666666666664,49.0
Polymer,22.3,787.0,838.2,25.0,68.0,28.33333333333333,48.0
Polymer,36.1,74.0,872.49,35.0,6.0,33.61111111111111,57.0
Polymer,18.1,66.0,1341.12,30.0,16.0,47.22222222222222,55.0
Polymer,16.5,92.0,2468.88,20.0,25.0,57.77777777777778,68.0
Polymer,21.0,460.0,2743.2000000000003,22.0,8.0,85.0,49.2
Polymer,24.0,200.0,1767.84,44.0,0.7,79.44444444444444,50.0
Polymer,12.0,20.0,1371.6,37.0,1.2,38.333333333333336,74.9
Polymer,30.3,1200.0,762.0,17.0,160.0,47.77777777777778,55.0
Polymer,15.5,19.7,1127.76,42.0,0.6,47.22222222222222,50.0
Polymer,15.5,50.0,883.9200000000001,39.0,3.0,48.888888888888886,48.0
Polymer,15.5,50.0,883.9200000000001,39.0,3.0,48.888888888888886,53.0
Polymer,19.5,150.0,838.2,39.0,3.0,48.888888888888886,41.0
Polymer,9.7,58.0,2987.04,38.0,2.9,68.33333333333333,54.0
Polymer,11.9,3.7,1447.8000000000002,35.0,3.4,35.55555555555556,67.0
Polymer,7.9,0.5,1767.84,34.0,1.0,41.66666666666666,64.0
Polymer,14.4,52.8,2407.92,26.0,8.0,56.66666666666666,49.279562043795615
Polymer,20.0,50.0,975.36,28.0,10.0,37.77777777777778,54.0
Polymer,18.5,59.0,1524.0,37.0,1.5,48.888888888888886,50.0
Polymer,13.0,28.0,1584.96,37.9,1.67,51.11111111111111,44.0
Polymer,31.0,5005.0,731.52,41.0,2.07,48.888888888888886,49.279562043795615
Polymer,12.0,5.8,1280.16,34.0,1.2,38.333333333333336,49.279562043795615
Polymer,17.4,44.8,1493.52,26.0,13.6,48.888888888888886,47.0
Polymer,15.4,17.9,1584.96,39.0,2.4,43.333333333333336,50.0
Polymer,18.8,95.3,1066.8,30.0,15.7,44.44444444444444,47.9
Polymer,14.2,11.0,1306.7529139534884,39.0,1.8,55.0,49.279562043795615
Polymer,17.85132947976879,217.63232558139532,1306.7529139534884,39.0,1.8,55.0,49.279562043795615
Polymer,13.6,18.5,1306.7529139534884,39.0,3.2,48.33333333333333,49.279562043795615
Polymer,18.9,300.0,2209.8,26.0,2.713,98.88888888888889,49.279562043795615
Polymer,16.5,55.0,2316.48,23.0,38.0,54.44444444444444,55.3
Polymer,21.7,6.0,1356.36,36.0,3.0,60.0,80.2
Polymer,24.7,467.0,487.68,30.0,13.0,35.0,69.0
Polymer,27.3,1282.0,487.68,24.0,35.0,35.0,82.5
Polymer,20.0,130.0,1676.4,30.5,1.3,71.11111111111111,49.279562043795615
